#run_name            mass#2000013         cross                
run_01               5.000000e+01         1.210781e+00         
run_02               1.000000e+02         8.310600e-02         
run_03               1.500000e+02         1.967400e-02         
run_04               2.000000e+02         6.768200e-03         
run_05               2.500000e+02         2.835800e-03         
run_06               3.000000e+02         1.356710e-03         
run_07               3.500000e+02         7.081800e-04         
run_08               4.000000e+02         3.949700e-04         
run_09               4.500000e+02         2.324800e-04         
run_10               5.000000e+02         1.419160e-04         
run_11               5.500000e+02         8.917800e-05         
run_12               6.000000e+02         5.790600e-05         
run_13               6.500000e+02         3.837300e-05         
run_14               7.000000e+02         2.592900e-05         
run_15               7.500000e+02         1.780810e-05         
run_16               8.000000e+02         1.238610e-05         
run_17               8.500000e+02         8.768400e-06         
run_18               9.000000e+02         6.251700e-06         
run_19               9.500000e+02         4.486800e-06         
